time,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,dof_tau_left_hip_roll_joint
0.148,0.699999988,0.6344215665458453,1.1673032273896846,-0.16408572746561606
0.15,0.699999988,0.6363525248491019,1.0134859370659879,-0.24706146667820358
0.152,0.699999988,0.6386647243428571,0.999681316,-0.30410930052857144
0.154,0.699999988,0.6409631621862909,1.1223152889240506,-0.31271336291019824
0.156,0.699999988,0.6432572776749732,0.9170102364397282,-0.24221907733814238
0.158,0.699999988,0.6451759289952763,0.8467139821280114,-0.17204104667926312
0.16,0.699999988,0.6470755923983816,0.9618227941165709,-0.17262378896294125
0.162,0.699999988,0.6489604933646008,0.9495426212715217,-0.051389497304075236
0.164,0.699999988,0.6505187956907167,0.8821755900904281,0.10522711987169313
0.166,0.699999988,0.6524444167168885,0.7577249951139878,0.12538520264233488
