time,des_dof_pos_right_ankle_joint,dof_pos_right_ankle_joint,dof_vel_right_ankle_joint,des_dof_pos_right_hip_pitch_joint,dof_pos_right_hip_pitch_joint,dof_vel_right_hip_pitch_joint,des_dof_pos_right_knee_joint,dof_pos_right_knee_joint,dof_vel_right_knee_joint
9.082,-0.050000001,0.03931722074630601,-1.068408109670162,0.200000003,0.23605785049868924,-2.0764283993969253,1.289999962,1.3490297831315539,-1.3491420462870591
9.084,-0.050000001,0.03512523560634997,-1.3971771592408688,0.200000003,0.23224173967271425,-2.0111475299968964,1.289999962,1.3465082873673908,-1.3166033687438528
9.086,-0.050000001,0.03130289310403523,-1.6168481988141887,0.200000003,0.22804383863397215,-2.032783498541126,1.289999962,1.3442616652591357,-1.2518853802049754
9.088,-0.050000001,0.027115362962160876,-1.7913618450759163,0.200000003,0.22423459896216089,-2.0106867765190386,1.289999962,1.342022934973584,-1.187781692
9.09,-0.050000001,0.02331163364278011,-1.8127441813399638,0.200000003,0.2204270298059916,-1.9669227602396644,1.289999962,1.3400616950766926,-1.1875376930226482
9.092,-0.050000001,0.02025572132786105,-1.7232494854794196,0.200000003,0.21659250463526053,-1.9446034277889603,1.289999962,1.3378117768327387,-1.1381440858984058
9.094,-0.050000001,0.01835534254021208,-1.524943859834624,0.200000003,0.21278860897164303,-1.9009194560649352,1.289999962,1.3361276678104375,-1.0264445531390445
9.096,-0.050000001,0.016836185419508702,-1.2174317229744813,0.200000003,0.20935449412043883,-1.879119873,1.289999962,1.3338849962530408,-1.058623276911996
9.098,-0.050000001,0.016076001226541875,-0.9101429207157427,0.200000003,0.20554130138540916,-1.8782364282042237,1.289999962,1.331644713786537,-1.074012378011879
9.1,-0.050000001,0.01569209451257899,-0.6684275438066054,0.200000003,0.2020907000284965,-1.7689128324850363,1.289999962,1.3299469194673899,-0.9943267427870514
9.102,-0.050000001,0.0152993556078408,-0.5381376729078885,0.200000003,0.1990326508088656,-1.7469312569921354,1.289999962,1.3279829741445424,-1.0257051528315062
9.104,-0.050000001,0.014155342039355994,-0.5174268952218247,0.200000003,0.19560060916100178,-1.72495862078712,1.289999962,1.326028302486583,-0.9927040710071556
9.106,-0.050000001,0.012994005301786349,-0.5840155483327814,0.200000003,0.19217766049934934,-1.7020174273434283,1.289999962,1.324617307809062,-0.913056195
9.108,-0.050000001,0.010722282629936382,-0.6938629969872764,0.200000003,0.1895246145089425,-1.615071874013924,1.289999962,1.3226745540292881,-0.912255082639059
9.11,-0.050000001,0.008413099031526745,-0.9138927157542802,0.200000003,0.18645267003211713,-1.5708281297577047,1.289999962,1.3215374499688275,-0.800600448898099
9.112,-0.050000001,0.0057662491725457374,-1.0446190172702379,0.200000003,0.1834312172770537,-1.5272842304314243,1.289999962,1.3198714677057277,-0.848068862088485
9.114,-0.050000001,0.002710696037465696,-1.1981286470303067,0.200000003,0.18074984805488603,-1.483191514754922,1.289999962,1.3184625585982581,-0.7679739012364873
9.116,-0.050000001,0.000420001277956413,-1.2410340656330832,0.200000003,0.17770185827795643,-1.4393793514933906,1.289999962,1.3167829103033226,-0.8152988438503036
