time,des_dof_pos_left_ankle_pitch_joint,dof_pos_left_ankle_pitch_joint,dof_vel_left_ankle_pitch_joint,des_dof_pos_left_ankle_roll_joint,dof_pos_left_ankle_roll_joint,dof_vel_left_ankle_roll_joint,des_dof_pos_left_hip_pitch_joint,dof_pos_left_hip_pitch_joint,dof_vel_left_hip_pitch_joint,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,des_dof_pos_left_hip_yaw_joint,dof_pos_left_hip_yaw_joint,dof_vel_left_hip_yaw_joint,des_dof_pos_left_knee_joint,dof_pos_left_knee_joint,dof_vel_left_knee_joint,des_dof_pos_waist_yaw_joint,dof_pos_waist_yaw_joint,dof_vel_waist_yaw_joint
8.716,-0.528656805950161,-0.08696661515514235,-4.90921685124021,-0.16119408354179088,0.15292017391260895,-4.1398176118531085,-0.32238816611219745,0.24954208232678676,-1.318630215333643,0.1313431908209133,0.4776014335080767,-1.7332672743974433,-0.2686568149787767,0.26475220140453226,-2.4260528683651366,0.5776118098878026,1.179487304275189,-5.350337895814178,0.0,-0.11576649646612434,0.4043227977697851
8.718,-0.5546056253955179,-0.09806237796844841,-5.316955502215664,-0.17676338103731076,0.14341346117000744,-4.450821562350161,-0.35352676204589345,0.2456238247131898,-1.939347010433556,0.10539436360448207,0.47325877914909675,-1.918800963167409,-0.29460563536678985,0.2584372004466716,-3.2004884613466964,0.5464732139541065,1.1679808554675823,-5.8291957531957435,0.0,-0.11458816442576095,0.5576988116309082
8.72,-0.5793888651043033,-0.10841320692423159,-5.629594365568978,-0.19163332537394207,0.13459523392994996,-4.638043977216583,-0.38326664977661223,0.24102230216440315,-2.210228806272337,0.08061112337859101,0.46865911480128664,-2.4692794115282344,-0.31938887496614615,0.2515358220650465,-3.6321032855489634,0.5167333270852307,1.154946351694782,-6.343418453011437,0.0,-0.11305465682773409,0.9008013417183702
8.722,-0.6029089497336989,-0.12069191397996423,-6.091997667351342,-0.20574539300536418,0.12461896934561717,-4.906975861563506,-0.41149078601072836,0.23603403217280858,-2.628979604313417,0.0570910216954345,0.46328665267942754,-2.7564395694887303,-0.3429089878754321,0.24347808117781752,-4.05950900277889,0.48850921998927166,1.14189829169195,-6.870948942299105,0.0,-0.11113640716779966,1.0032440625806798
8.724,-0.625078645434907,-0.13340647597507121,-6.457083641479345,-0.219047195323319,0.1145975684451567,-5.017809043570038,-0.438094390646638,0.23025240976614433,-2.946839372671415,0.03492134145207439,0.4575064372587844,-2.8068237868088795,-0.3650786535765379,0.23499802166381767,-4.201156563284425,0.46190561535336194,1.1272563281201329,-7.161857768220798,0.0,-0.10843778755460588,1.4660853129627254
8.726,-0.6458085904398049,-0.146013903147792,-6.513306591015314,-0.231485150353557,0.10390096307514246,-5.255499162453822,-0.462970300707114,0.22375827912452517,-3.327337684186135,0.01419142678955508,0.45139314072768283,-3.165442633299739,-0.3858085694398049,0.22582950192165244,-4.851526935432811,0.4370297044327861,1.1123572470258785,-7.66027421990527,0.0,-0.10538161430721747,1.578531213030508
8.728,-0.6649778462741686,-0.15941248048530635,-6.785864488454254,-0.24298668711741567,0.09318145723759667,-5.4173220559762045,-0.48597337423483133,0.21610162688185605,-3.69342446173254,-0.004977822177971153,0.44450164481713267,-3.3847451882937536,-0.40497782607164146,0.2154936861610946,-5.1226330462498515,0.4140266017651687,1.095513488901725,-8.170720490643426,0.0,-0.10193634238703153,1.8145531455443187
8.73,-0.6825892943255397,-0.17305301025738845,-7.009039272845755,-0.25355357667947037,0.08219364548934416,-5.576491232255387,-0.5071071533589407,0.20776735722171202,-4.201351945671612,-0.0225893036713587,0.4376814370264924,-3.6078018396473563,-0.42258930335214123,0.20450669748934416,-5.613513203662899,0.3928928234391029,1.078461914974214,-8.772807690145296,0.0,-0.09814743032567996,1.8526586624689745
8.732,-0.698542587846108,-0.18771284823880954,-7.133390586239529,-0.2631255693830016,0.07023666137813511,-5.723677849865834,-0.5262511387387054,0.19851228055106204,-4.595675327542302,-0.03854260864501133,0.4299707121179647,-3.7594013812356892,-0.4385425970271784,0.19254971337813515,-6.035445851825033,0.373748866442365,1.0603275140788433,-9.227840501576503,0.0,-0.09466736031765272,1.9213311247941918
8.734,-0.7127512639427689,-0.20184664976525044,-7.336301531661523,-0.2716507355991451,0.05877653020318063,-5.818333420645859,-0.5433014702253621,0.1889675797984809,-5.079217076119392,-0.052751242023984804,0.4223332736311417,-3.9188293162366485,-0.45275124394276894,0.1799517635186328,-6.447174153549727,0.35669850739895514,1.041241156596962,-9.438776560843817,0.0,-0.0900934494362687,2.1328651193406123
